id,formula_name,formula_in_latex,unicode_dec,unicodexml_description,formula_type
1,TRASH,TRASH,128465,WASTEBASKET,single symbol
2,::UNKNOWN::,::UNKNOWN::,0,,NULL
31,A,A,65,LATIN CAPITAL LETTER A,single symbol
32,B,B,66,LATIN CAPITAL LETTER B,single symbol
33,C,C,67,LATIN CAPITAL LETTER C,single symbol
34,D,D,68,LATIN CAPITAL LETTER D,single symbol
35,E,E,69,LATIN CAPITAL LETTER E,single symbol
36,F,F,70,LATIN CAPITAL LETTER F,single symbol
37,G,G,71,LATIN CAPITAL LETTER G,single symbol
38,H,H,72,LATIN CAPITAL LETTER H,single symbol
39,I,I,73,LATIN CAPITAL LETTER I,single symbol
40,J,J,74,LATIN CAPITAL LETTER J,single symbol
41,K,K,75,LATIN CAPITAL LETTER K,single symbol
42,L,L,76,LATIN CAPITAL LETTER L,single symbol
43,M,M,77,GREEK CAPITAL LETTER MU,single symbol
44,N,N,78,MATHEMATICAL ITALIC CAPITAL NU,single symbol
45,O,O,79,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL OMICRON,single symbol
46,P,P,80,LATIN CAPITAL LETTER P,single symbol
47,Q,Q,81,LATIN CAPITAL LETTER Q,single symbol
48,R,R,82,LATIN CAPITAL LETTER R,single symbol
49,S,S,83,LATIN CAPITAL LETTER S,single symbol
50,T,T,84,LATIN CAPITAL LETTER T,single symbol
51,U,U,85,LATIN CAPITAL LETTER U,single symbol
52,V,V,86,LATIN CAPITAL LETTER V,single symbol
53,W,W,87,LATIN CAPITAL LETTER W,single symbol
54,X,X,88,LATIN CAPITAL LETTER X,single symbol
55,Y,Y,89,LATIN CAPITAL LETTER Y,single symbol
56,Z,Z,90,LATIN CAPITAL LETTER Z,single symbol
59,rightarrow,\rightarrow,8594,RIGHTWARDS ARROW,single symbol
70,0,0,48,DIGIT ZERO,single symbol
71,1,1,49,DIGIT ONE,single symbol
72,2,2,50,DIGIT TWO,single symbol
73,3,3,51,DIGIT THREE,single symbol
74,4,4,52,DIGIT FOUR,single symbol
75,5,5,53,DIGIT FIVE,single symbol
76,6,6,54,DIGIT SIX,single symbol
77,7,7,55,DIGIT SEVEN,single symbol
78,8,8,56,DIGIT EIGHT,single symbol
79,9,9,57,DIGIT NINE,single symbol
81,pi,\pi,960,GREEK SMALL LETTER PI,single symbol
82,alpha,\alpha,945,GREEK SMALL LETTER ALPHA,single symbol
87,beta,\beta,946,GREEK SMALL LETTER BETA,single symbol
88,sum,\sum,8721,N-ARY SUMMATION,single symbol
89,sigma,\sigma,963,GREEK SMALL LETTER SIGMA,single symbol
90,a,a,97,LATIN SMALL LETTER A,single symbol
91,b,b,98,LATIN SMALL LETTER B,single symbol
92,c,c,99,LATIN SMALL LETTER C,single symbol
93,d,d,100,LATIN SMALL LETTER D,single symbol
94,e,e,101,LATIN SMALL LETTER E,single symbol
95,f,f,102,LATIN SMALL LETTER F WITH HOOK,single symbol
96,g,g,103,LATIN SMALL LETTER SCRIPT G,single symbol
97,h,h,104,LATIN SMALL LETTER H,single symbol
98,i,i,105,LATIN SMALL LETTER I,single symbol
99,j,j,106,LATIN SMALL LETTER J,single symbol
100,k,k,107,LATIN SMALL LETTER K,single symbol
101,l,l,108,LATIN SMALL LETTER L,single symbol
102,m,m,109,LATIN SMALL LETTER M,single symbol
103,n,n,110,LATIN SMALL LETTER N,single symbol
104,o,o,111,GREEK SMALL LETTER OMICRON,single symbol
105,p,p,112,LATIN SMALL LETTER P,single symbol
106,q,q,113,LATIN SMALL LETTER Q,single symbol
107,r,r,114,LATIN SMALL LETTER R,single symbol
108,s,s,115,LATIN SMALL LETTER S,single symbol
109,t,t,116,LATIN SMALL LETTER T,single symbol
110,u,u,117,LATIN SMALL LETTER U,single symbol
111,v,v,118,LATIN SMALL LETTER V,single symbol
112,w,w,119,LATIN SMALL LETTER W,single symbol
113,x,x,120,LATIN SMALL LETTER X,single symbol
114,y,y,121,LATIN SMALL LETTER Y,single symbol
115,z,z,122,LATIN SMALL LETTER Z,single symbol
116,Sigma,\Sigma,931,GREEK CAPITAL LETTER SIGMA,single symbol
117,gamma,\gamma,947,GREEK SMALL LETTER GAMMA,single symbol
150,Gamma,\Gamma,915,GREEK CAPITAL LETTER GAMMA,single symbol
151,delta,\delta,948,GREEK SMALL LETTER DELTA,single symbol
152,Delta,\Delta,916,GREEK CAPITAL LETTER DELTA,single symbol
153,\zeta,\zeta,950,GREEK SMALL LETTER ZETA,single symbol
154,\eta,\eta,951,GREEK SMALL LETTER ETA,single symbol
155,theta,\theta,952,GREEK SMALL LETTER THETA,single symbol
156,Theta,\Theta,920,GREEK CAPITAL LETTER THETA,single symbol
157,epsilon (lunate),\epsilon,1013,GREEK SMALL LETTER EPSILON,single symbol
158,epsilon (variant),\varepsilon,603,LATIN SMALL LETTER OPEN E,single symbol
159,iota,\iota,953,GREEK SMALL LETTER IOTA,single symbol
160,kappa,\kappa,954,GREEK SMALL LETTER KAPPA,single symbol
161,kappa (variant),\varkappa,1008,GREEK KAPPA SYMBOL,single symbol
162,lambda,\lambda,955,GREEK SMALL LETTER LAMDA,single symbol
163,\Lambda,\Lambda,923,GREEK CAPITAL LETTER LAMDA,single symbol
164,\mu,\mu,956,GREEK SMALL LETTER MU,single symbol
165,\nu,\nu,957,GREEK SMALL LETTER NU,single symbol
166,xi,\xi,958,GREEK SMALL LETTER XI,single symbol
167,Xi,\Xi,926,GREEK CAPITAL LETTER XI,single symbol
168,Pi,\Pi,928,GREEK CAPITAL LETTER PI,single symbol
169,rho,\rho,961,GREEK SMALL LETTER RHO,single symbol
170,rho (variant),\varrho,1009,GREEK RHO SYMBOL,single symbol
171,tau,\tau,964,GREEK SMALL LETTER TAU,single symbol
172,\upsilon,\upsilon,965,GREEK SMALL LETTER UPSILON,single symbol
173,\Upsilon,\Upsilon,933,GREEK UPSILON WITH HOOK SYMBOL,single symbol
174,\phi,\phi,981,GREEK PHI SYMBOL,single symbol
175,Phi,\Phi,934,GREEK CAPITAL LETTER PHI,single symbol
176,\varphi,\varphi,966,GREEK SMALL LETTER PHI,single symbol
177,\chi,\chi,967,GREEK SMALL LETTER CHI,single symbol
178,psi,\psi,968,GREEK SMALL LETTER PSI,single symbol
179,\Psi,\Psi,936,GREEK CAPITAL LETTER PSI,single symbol
180,omega,\omega,969,GREEK SMALL LETTER OMEGA,single symbol
181,\Omega,\Omega,8486,OHM SIGN,single symbol
182,\partial,\partial,8706,MATHEMATICAL SANS-SERIF BOLD ITALIC PARTIAL DIFFERENTIAL,single symbol
183,\int,\int,8747,INTEGRAL,single symbol
